year,gender,sport,class,champion,coach,finalist,opponent_coach,team_score,opponent_score,notes
2006,Boys,Track and Field,2A,Howard,Dave Glenn,Kent Island,Justin Holland,,,
2006,Boys,Track and Field,1A,Smithsburg,Walter Orndorff,Brunswick,Tony Lawson,,,
2007,Boys,Track and Field,4A,Meade,Nigel Holder,Gaithersburg,A. McDaniels,,,
2007,Boys,Track and Field,3A,Westlake,Beth Shook,Wilde Lake,Adam Parry,,,
2007,Boys,Track and Field,2A,Howard,Dave Glenn,Polytechnic,Steve Williams,,,
2007,Boys,Track and Field,1A,Smithsburg,Ray Shriver,Digital Harbor,L. Bakari/S. Darby,,,
2008,Boys,Track and Field,4A,Roosevelt,Desmond Dunham,Quince Orchard & Montgomery Blair,Seann Pelkey & Ralph Penn,,,
2008,Boys,Track and Field,3A,Westlake,Beth Shook,Meade,Nigel Holder,,,
2008,Boys,Track and Field,2A,North Point,Kevin Reisinger,Walkersville,Lee Palmer,,,
2008,Boys,Track and Field,1A,Western STES,"Shedrick Elliott, III",Digital Harbor,L. Bakari/S. Darby,,,
2009,Boys,Track and Field,4A,Thomas Johnson,Nick Snyder,Gaithersburg,Adrian McDaniel,,,
2009,Boys,Track and Field,3A,Westlake,Beth Shook,Annapolis,Brian Brown,,,
2009,Boys,Track and Field,2A,Clarksburg,Scott Mathias,North Point,Kevin Reisinger,,,
2009,Boys,Track and Field,1A,Smithsburg,Thomas Hood,Williamsport,John Bailey,,,
2010,Boys,Track and Field,4A,Thomas Johnson,Nick Snyder,North Point,Kevin Reisinger,,,
2010,Boys,Track and Field,3A,Reservoir,Phil Rogers/Jud Lincoln,Potomac,Stanley Mullins,,,
2010,Boys,Track and Field,2A,Oakland Mills,Bryan Winfield,Walkersville,Lee Palmer,,,
2010,Boys,Track and Field,1A,Carver-B,Stephen Kimes,Williamsport,John Bailey,,,
2011,Boys,Track and Field,4A,Thomas Johnson,Nick Snyder,DuVal,Deborah Reid & Cortez Hayes,,,
2011,Boys,Track and Field,3A,Linganoire,Alvin Pridgeon,Potomac,Stanley Mullins,,,
2011,Boys,Track and Field,2A,Walkersville,Lee Palmer,Century,Ryan Melhorn,,,
2011,Boys,Track and Field,1A,Carver-B,Stephen Kimes,Catoctin,Terri Gibbons,,,
2012,Boys,Track and Field,4A,Dr. Henry A. Wise Jr.,Farden Carter,Suitland,Anthony Brown,,,
2012,Boys,Track and Field,3A,Potomac,Stanley Mullins,Thomas Johnson,Drew Irving,,,
2012,Boys,Track and Field,2A,Century,Tony Griner,Douglass-PG,"Malcolm Drewery, Jr.",,,
2012,Boys,Track and Field,1A,Perryville,Jake Moore,Brunswick,Tony Lawson,,,
2013,Boys,Track and Field,4A,Northwest,R. Youngblood/M. Neubiser,Clarksburg,Scott Mathias,,,
2013,Boys,Track and Field,3A,Mount Hebron,Teyarnte Carter,Hereford,J. Bowman/J. Roemer IV,,,
2013,Boys,Track and Field,2A,Westlake,Beth Shook,Century,Tony Griner,,,
2013,Boys,Track and Field,1A,Perryville,Jake Moore,Boonsboro,Becky Walter,,,
2014,Boys,Track and Field,4A,Bowie,Rich Andruonis,Wootton,Kellie Redmond,,,
2014,Boys,Track and Field,3A,Long Reach,Pete Hughes,Wilde Lake,Whitty Bass,,,
2014,Boys,Track and Field,2A,Douglass-PG,Kori Green,Century,Tony Griner,,,
2014,Boys,Track and Field,1A,Pikesville,Adam Hittner,North Carroll,J. MacDonald/K. Strumsky,,,
2015,Boys,Track and Field,4A,Bowie,Rich Andruonis,C.H. Flowers,Bryan Brown/Henry Brady,,,
2015,Boys,Track and Field,3A,Westlake,Beth Shook,Mount Hebron,Teyarnte Carter,,,
2015,Boys,Track and Field,2A,Oakdale,David Lillard,Century,Tony Griner,,,
2015,Boys,Track and Field,1A,Fort Hill,Zach Alkire,Northwestern-B,Jerry Molyneaux,,,
2016,Boys,Track and Field,4A,Northwest,Robt. Youngblood/Thea LaFond Owen Hill,C.H. Flowers,Bryan Brown/Henry Brady,,,
2016,Boys,Track and Field,3A,Oxon Hill,Derrel Quick,Oakdale,David Lillard,,,
2016,Boys,Track and Field,2A,South Hagerstown,Dwayne Freeman,Reservoir,Phil Rogers/Bobby Gessler,,,
2016,Boys,Track and Field,1A,Fairmont Heights,V. Johnson/M. Virgil,Smithsburg,Ray Shriver,,,
2017,Boys,Track and Field,4A,Northwest,Robt. Youngblood/Fran Parry,Digital Harbor,Lutalo Bakari,,,
2017,Boys,Track and Field,3A,Oxon Hill,Derrel Quick,Oakdale,David Lillard,,,
2017,Boys,Track and Field,2A,Century,Dyron Johnson/Chris Mead,Westlake,Beth Shook,,,
2017,Boys,Track and Field,1A,Boonsboro,Becky Walter/Shawn Cutsail,Fairmont Heights,Vaughn Johnson,,,
2018,Boys,Track and Field,4A,Northwest,Robt. Youngblood/Nate Parry,Dulaney,Eric Benjamin/Chad Boyle,,,
2018,Boys,Track and Field,3A,South Hagerstown,Dwayne Freeman,Reservoir,Phil Rogers/Bobby Gessler,,,
2018,Boys,Track and Field,2A,Oakdale,David Lillard,New Town,Jordan Davis,,,
2018,Boys,Track and Field,1A,Boonsboro,Becky Walter/Shawn Cutsail,Largo,Darryl Hamilton,,,
2019,Boys,Track and Field,4A,Northwest,R. Youngblood/N. Parry/F. Parry,Dulaney,Eric Benjamin/Chad Boyle,,,
2019,Boys,Track and Field,3A,Huntingtown,Valerie Harrington,Watkins Mill,Kevin Watson,,,
2019,Boys,Track and Field,2A,Oakdale,David Lillard,Century,Dyron Johnson,,,
2019,Boys,Track and Field,1A,Henry E. Lackey,Jimari Jones,Largo,Darryl Hamilton,,,
2021,Boys,Track and Field,4A,Walter Johnson,Tom Martin,Howard,Zack Dickerson,,,
2021,Boys,Track and Field,3A,Oakland Mills,Renato Gonzales/Christopher Brewington,North Point,Debra Hall,,,
2021,Boys,Track and Field,2A,Milford Mill,Sharon Johnson,Glenelg,Phil Johnson,,,
2021,Boys,Track and Field,1A,Paul Laurence Dunbar,Dale Stalley,McDonough,"Stan Jones, Jr.",,,
2022,Boys,Track and Field,4A,Severna Park,Josh Alcombright,Old Mill,Justin Murdock,,,
2022,Boys,Track and Field,3A,Northern-Calvert,Josh Dawson,Huntingtown,Valerie Harrington,,,
2022,Boys,Track and Field,2A,Oakland Mills,Christopher Brewington,Hammond,Jaovon Wright,,,
2022,Boys,Track and Field,1A,Catoctin,David Lillard,Mountain Ridge,Doug Baker,,,
2023,Boys,Track and Field,4A,Bowie,Rich Andruonis,Seneca Valley,Chris Colbert,,,
2023,Boys,Track and Field,3A,Gov. Thomas Johnson,Robert Humphries,Frederick,Robert Dixon,,,
2023,Boys,Track and Field,2A,Oakland Mills,Christopher Brewington,Glenelg,Phil Johnson,,,
2023,Boys,Track and Field,1A,Catoctin,David Lillard,Mountain Ridge,Doug Baker,,,
