year,sport,gender,class,champ,school,score
1977,Tennis,Girls,NA,Sue Wissler,Great Mills,"6-4, 6-4"
1978,Tennis,Girls,NA,Diane Sawyer,Walter Johnson,"6-0, 6-7, 6-0"
1979,Tennis,Girls,NA,Laurie MacGill,Catonsville,"5-7, 6-0, 6-1"
1980,Tennis,Girls,NA,Laurie MacGill,Catonsville,"6-2, 6-4"
1981,Tennis,Girls,NA,Charlotte Haberstroh,JM Bennett,"6-7, 6-3"
1982,Tennis,Girls,NA,Lee Shelburne,Whitman,"6-3, 6-4"
1983,Tennis,Girls,NA,Charlotte Haberstroh,JM Bennett,"7-6, 4-6, 6-3"
1984,Tennis,Girls,NA,Lee Shelburne,Whitman,"6-2, 6-2"
1985,Tennis,Girls,NA,Jeri Ingram,Springbrook,"6-1, 6-2"
1986,Tennis,Girls,NA,Jeri Ingram,Springbrook,"6-3, 6-0"
1987,Tennis,Girls,NA,Jeri Ingram,Springbrook,"6-2, (retire)"
1988,Tennis,Girls,NA,Jeri Ingram,Springbrook,"6-2, 6-0"
1989,Tennis,Girls,NA,Diane McKeon,Seneca Valley,"6-3, 6-2"
1990,Tennis,Girls,NA,Danielle Dilloff,Pikesville,"2-6, 6-2, 6-2"
1991,Tennis,Girls,NA,Katherine Hobbs,Severna Park,"6-1, 6-4"
1992,Tennis,Girls,NA,Bresha Byrd,Middletown,"6-0, 6-0"
1993,Tennis,Girls,NA,Julia Kim,Winston Churchill,"7-5, 5-7, 6-3"
1994,Tennis,Girls,NA,Meghan Cornwall,Annapolis,"6-7 (7-3), 7-6 (7-0), 6-3"
1995,Tennis,Girls,NA,Meghan Cornwall,Annapolis,"6-2, 0-6, 6-2"
1996,Tennis,Girls,NA,Meghan Cornwall,Annapolis,"5-7, 7-6 (7-4), 6-3"
1997,Tennis,Girls,NA,Katie Dougherty,Centennial,"6-3, 6-3"
1998,Tennis,Girls,NA,Leslie Harvey,Randallstown,"6-4, 6-4"
1999,Tennis,Girls,NA,Anna Goldstein,Thomas S. Wooton,"6-3, 6-3"
2000,Tennis,Girls,NA,Leslie Price,Eleanor Roosevelt,"7-6 (11-9), 6-0"
2001,Tennis,Girls,NA,Marianne Baker,Glenelg,"6-3, 6-0"
