team,year,class,status,gender,Sport
Montgomery Blair,2023,4AN,RR2,Boys,Football
Montgomery Blair,2019,4AN,RR1,Boys,Football
James Hubert Blake,2023,4A/3AS,SF,Boys,Football
James Hubert Blake,2021,4A/3AS,QF,Boys,Football
James Hubert Blake,2022,4A/3AS,QF,Boys,Football
James Hubert Blake,2012,4AN,RR,Boys,Football
James Hubert Blake,2016,3AS,RS,Boys,Football
James Hubert Blake,2017,3AW,RS,Boys,Football
James Hubert Blake,2018,3AW,RS,Boys,Football
James Hubert Blake,2019,3AW,RR1,Boys,Football
Bohemia Manor,2002,1A,CH,Boys,Football
Bohemia Manor,1985,C,SF,Boys,Football
Bohemia Manor,1988,1A,SF,Boys,Football
Bohemia Manor,1994,1A,QF,Boys,Football
Bohemia Manor,1998,1A,QF,Boys,Football
Bohemia Manor,1999,1A,QF,Boys,Football
Bohemia Manor,2022,1AE,QF,Boys,Football
Bohemia Manor,2010,1AE,RR,Boys,Football
Bohemia Manor,2017,1AE,RR,Boys,Football
Bohemia Manor,2006,1AE,RS,Boys,Football
Bohemia Manor,2008,1AE,RS,Boys,Football
Bohemia Manor,2009,1AE,RS,Boys,Football
Bohemia Manor,2012,1AE,RS,Boys,Football
Bohemia Manor,2013,1AE,RS,Boys,Football
Bohemia Manor,2014,1AE,RS,Boys,Football
Bohemia Manor,2015,1AN,RS,Boys,Football
Bohemia Manor,2016,1AE,RS,Boys,Football
Bohemia Manor,2021,1AE,RR2,Boys,Football
Bohemia Manor,2023,1AE,RR2,Boys,Football
Boonsboro,1993,1A,CH,Boys,Football
Boonsboro,1994,1A,RU,Boys,Football
Boonsboro,1975,B,SF,Boys,Football
Boonsboro,2001,1A,SF,Boys,Football
Boonsboro,2021,2A/1AW,QF,Boys,Football
Boonsboro,2011,1AW,RR,Boys,Football
Boonsboro,2005,1AW,RS,Boys,Football
Boonsboro,2006,1AW,RS,Boys,Football
Boonsboro,2007,1AW,RS,Boys,Football
Boonsboro,2008,1AW,RS,Boys,Football
Boonsboro,2009,1AW,RS,Boys,Football
Boonsboro,2012,1AW,RS,Boys,Football
Boonsboro,2015,1AW,RS,Boys,Football
Boonsboro,2016,1AW,RS,Boys,Football
Boonsboro,2017,1AW,RS,Boys,Football
Boonsboro,2018,1AW,RS,Boys,Football
Boonsboro,2019,1AW,RR2,Boys,Football
Boonsboro,2022,2A/1AW,RR2,Boys,Football
Boonsboro,2023,1AN,RR2,Boys,Football
Bowie,2001,4A,CH,Boys,Football
Bowie,1976,AA,RU,Boys,Football
