Year,Class,Season,Gender,Sport,Status,Team,Coach,Team Score,Opponent,Opponent Score
2023,1A,Winter,Male,Dual Meet Wrestling,Finalist,Northern-Garrett,Casey Kamp,30,South Carroll,46
2023,1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Patterson Mill,-,-,-,-
2023,1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Sherwood,-,-,-,-
2024,4A,Winter,Male,Dual Meet Wrestling,Champion,Walt Whitman,Derek Manon,33,Broadneck,31
2024,4A,Winter,Male,Dual Meet Wrestling,Finalist,Broadneck,Reid Bloomfield,31,Walt Whitman,33
2024,4A,Winter,Male,Dual Meet Wrestling,Semifinalist,Winston Churchill,-,-,-,-
2024,4A,Winter,Male,Dual Meet Wrestling,Semifinalist,Bethesda-Chevy Chase,-,-,-,-
2024,3A,Winter,Male,Dual Meet Wrestling,Champion,Linganore,Ben Arneson,34,South River,31
2024,3A,Winter,Male,Dual Meet Wrestling,Finalist,South River,John Klessinger,31,Linganore,34
2024,3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Marriotts Ridge,-,-,-,-
2024,3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Bel Air,-,-,-,-
2024,2A,Winter,Male,Dual Meet Wrestling,Champion,Stephen Decatur,Josh August,50,Damascus,22
2024,2A,Winter,Male,Dual Meet Wrestling,Finalist,Damascus,John Furgeson,22,Stephen Decatur,50
2024,2A,Winter,Male,Dual Meet Wrestling,Semifinalist,Harford Technical,-,-,-,-
2024,2A,Winter,Male,Dual Meet Wrestling,Semifinalist,C. Milton Wright,-,-,-,-
2024,1A,Winter,Male,Dual Meet Wrestling,Champion,South Carroll,Bryan Hamper,40,Middletown,30
2024,1A,Winter,Male,Dual Meet Wrestling,Finalist,Middletown,Chad Strube,30,South Carroll,40
2024,1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Marriotts Ridge,-,-,-,-
2024,1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Patterson Mill,-,-,-,-
