Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
2016,Lacrosse,Boys,Severna Park,Dave Earl,4A-3A,Champion,9.0,3.0,,,
2016,Lacrosse,Boys,Linganore,Rich Thompson,3A-2A,Champion,9.0,7.0,,,
2016,Lacrosse,Boys,Fallston,Matt Parks,2A-1A,Champion,12.0,5.0,,,
2017,Lacrosse,Boys,Southern-AA,Brendan Brace,2A-1A,Champion,20.0,7.0,,,
2017,Lacrosse,Boys,Severna Park,Dave Earl,4A-3A,Champion,7.0,6.0,,,
2017,Lacrosse,Boys,Northern-Calvert,Joe Casalino,3A-2A,Champion,5.0,4.0,,,
2018,Lacrosse,Boys,Severna Park,Dave Earl,4A,Champion,8.0,7.0,,,
2018,Lacrosse,Boys,Westminster,Steve DeFeo,3A,Champion,12.0,8.0,,,
2018,Lacrosse,Boys,Marriotts Ridge,Tony Incontrera,2A,Champion,8.0,6.0,,,
2018,Lacrosse,Boys,Patterson Mill,Jason Bellamy,1A,Champion,18.0,8.0,,,
2019,Lacrosse,Boys,Patterson Mill,Jason Bellamy,1A,Champion,14.0,3.0,,,
2019,Lacrosse,Boys,Glenelg,Josh Hatmaker,2A,Champion,11.0,7.0,,,
2019,Lacrosse,Boys,Westminster,Steve DeFeo,3A,Champion,9.0,8.0,,,
2019,Lacrosse,Boys,Severna Park,Dave Earl,4A,Champion,9.0,6.0,,,
2020,Lacrosse,Boys,,,,Season Cancelled,,,,,
2020,Lacrosse,Boys,,,,Season Cancelled,,,,,
2021,Lacrosse,Boys,Severna Park,Travis Loving,4A,Champion,11.0,3.0,,,
2021,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,13.0,8.0,,,
2021,Lacrosse,Boys,Hereford,Kyle Lippert,2A,Champion,5.0,4.0,,,
2021,Lacrosse,Boys,Urbana,Gavin Donahue,3A,Champion,7.0,6.0,,,
2022,Lacrosse,Boys,Southern-AA,Brendan Brace,1A,Champion,14.0,7.0,,,
2022,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,11.0,7.0,,,
2022,Lacrosse,Boys,Winston Churchill,Jeff Fritz,4A,Champion,15.0,7.0,,,
2022,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9.0,6.0,,,
2023,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9.0,8.0,,,
2023,Lacrosse,Boys,Broadneck,Jeff McGuire,4A,Champion,16.0,6.0,,,
2023,Lacrosse,Boys,Broadneck,Jeff McGuire,4A,Champion,16.0,6.0,Severna Park,,
2023,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,19.0,7.0,Patterson Mill,,
2023,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,9.0,3.0,Hereford,,
2023,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9.0,8.0,Westminster,,
2023,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,9.0,3.0,,,
2023,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,19.0,7.0,,,
1990,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,12.0,10.0,Loch Raven,,
1990,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,14.0,10.0,Severna Park,,
1991,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,9.0,5.0,Loch Raven,,
1991,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,14.0,9.0,Severna Park,,
1992,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,2A-1A,Champion,15.0,10.0,Severna Park,,
1992,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,19.0,9.0,Mount Hebron,,
1993,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,14.0,6.0,Mount Hebron,,
1993,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,2A-1A,Champion,9.0,7.0,Severna Park,,
1994,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,19.0,7.0,Mount Hebron,,
1994,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,4A-3A,Champion,19.0,8.0,Loch Raven,,
1995,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,18.0,5.0,Mount Hebron,,
1995,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,4A-3A,Champion,20.0,7.0,Loch Raven,,
1996,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,11.0,10.0,Catonsville,,
1996,Lacrosse,Girls,Catonsville,Kim McNemar,2A-1A,Champion,17.0,5.0,Annapolis,,
1997,Lacrosse,Girls,Mount Hebron,Chris Robinson,4A-3A,Champion,8.0,6.0,Towson,,
1997,Lacrosse,Girls,Towson,Wendy Kridel,2A-1A,Champion,12.0,6.0,Mount Hebron,,
1998,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,17.0,2.0,Mount Hebron,,
1998,Lacrosse,Girls,Mount Hebron,Chris Robinson,2A-1A,Champion,9.0,7.0,Annapolis,,
1999,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,13.0,4.0,Mount Hebron,,
1999,Lacrosse,Girls,Mount Hebron,Chris Robinson,2A-1A,Champion,16.0,4.0,Annapolis,,
2000,Lacrosse,Girls,Mount Hebron,Chris Robinson,3A-2A-1A,Champion,16.0,4.0,Severna Park,,
2000,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,5.0,4.0,Mount Hebron,,
2001,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,7.0,6.0,Mount Hebron,,
2001,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,12.0,3.0,Mount Hebron,,
