Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
2013,Lacrosse,Girls,Winters Mill,Courtney Vaughn,2A-1A,Champion,8,7,Marriotts Ridge,,
2014,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,15,5,Marriotts Ridge,,
2014,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A-2A,Champion,18,5,Manchester Valley,,
2014,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,13,10,Marriotts Ridge,,
2015,Lacrosse,Girls,Century,Becky Groves,3A-2A,Champion,10,7,Manchester Valley,,
2015,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,16,5,Century,,
2015,Lacrosse,Girls,Severna Park,Kaitlyn Fuller,4A-3A,Champion,18,15,Century,,
2016,Lacrosse,Girls,Dulaney,Kristi Korrow,4A-3A,Champion,15,11,Glenelg,,
2016,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A-1A,Champion,22,3,Glenelg,,
2016,Lacrosse,Girls,Glenelg,Ginger Kincaid,3A-2A,Champion,14,1,Manchester Valley,,
2017,Lacrosse,Girls,Glenelg,Nicole Trunzo,3A-2A,Champion,12,3,Bel Air,,
2017,Lacrosse,Girls,Bel Air,Kristen Barry,4A-3A,Champion,10,9,Glenelg,,
2017,Lacrosse,Girls,Century,Becky Groves,2A-1A,Champion,13,5,Glenelg,,
2018,Lacrosse,Girls,Patterson Mill,Kim Burgasser,1A,Champion,16,8,Glenelg,,
2018,Lacrosse,Girls,Glenelg,Nicole Trunzo,2A,Champion,6,5,Patterson Mill,,
2018,Lacrosse,Girls,Westminster,Jackie Stevens,3A,Champion,9,5,South River,,
2018,Lacrosse,Girls,South River,Caroline Cochran,4A,Champion,11,9,Westminster,,
2019,Lacrosse,Girls,Severna Park,Kaitlyn Hines,4A,Champion,10,5,Westminster,,
2019,Lacrosse,Girls,Patterson Mill,Kim Burgasser,1A,Champion,20,4,South Carroll,,
2019,Lacrosse,Girls,South Carroll,Brigid Scanlon,2A,Champion,10,9,Patterson Mill,,
2019,Lacrosse,Girls,Westminster,Jackie Stevens,3A,Champion,15,9,Severna Park,,
2021,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,12,11,Marriotts Ridge,,
2021,Lacrosse,Girls,Liberty,Tom Brandel,1A,Champion,10,9,Queen Anne’s,,
2021,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A,Champion,16,11,Broadneck,,
2021,Lacrosse,Girls,Queen Anne’s,Kesley Fitzgerald,2A,Champion,13,10,Liberty,,
2022,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A,Champion,11,10,Broadneck,,
2022,Lacrosse,Girls,Liberty,Tom Brandel,1A,Champion,9,4,Century,,
2022,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,17,4,Marriotts Ridge,,
2022,Lacrosse,Girls,Century,Becky Groves,2A,Champion,16,6,Liberty,,
2023,Lacrosse,Girls,Severna Park,Annie Houghton,3A,Champion,12,8,Manchester Valley,,
2023,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,9,8,Severna Park,,
2023,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A,Champion,15,7,Liberty,,
