SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
STEPHEN DECATUR,1970,CHAMPION,BOYS,64-63,Ward Lambert,B
ROCKVILLE,1971,CHAMPION,BOYS,51-44,Jim Conner,B
FAIRMONT HEIGHTS,1971,CHAMPION,BOYS,120-69,Ken Freeman,A
ARUNDEL,1971,SEMIFINALIST,BOYS,NA,NA,NA
ATHOLTON,1971,FINALIST,BOYS,NA,NA,NA
DUNDALK,1971,SEMIFINALIST,BOYS,NA,NA,NA
GWYNN PARK,1971,FINALIST,BOYS,NA,NA,NA
HENRY E. LACKEY,1971,SEMIFINALIST,BOYS,NA,NA,NA
HOWARD COUNTY,1971,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1971,SEMIFINALIST,BOYS,NA,NA,NA
PERRYVILLE,1971,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1971,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (G),1971,SEMIFINALIST,BOYS,NA,NA,NA
WALT WHITMAN,1971,FINALIST,BOYS,NA,NA,NA
POCOMOKE,1971,CHAMPION,BOYS,80-64,Ronnie Ross,C
PARKDALE,1971,CHAMPION,BOYS,87-72,Stan Kernan,AA
THOMAS STONE,1972,CHAMPION,BOYS,74-66,Dale Cornette,B
NORTH HAGERSTOWN,1972,CHAMPION,BOYS,79-70,James Brown,A
SPRINGBROOK,1972,CHAMPION,BOYS,72-59,John Barrett,AA
GWYNN PARK,1972,CHAMPION,BOYS,75-74,Larry Gandee,C
ANNAPOLIS,1972,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1972,FINALIST,BOYS,NA,NA,NA
CALVERT COUNTY,1972,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1972,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,1972,SEMIFINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1972,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1972,SEMIFINALIST,BOYS,NA,NA,NA
POCOMOKE,1972,FINALIST,BOYS,NA,NA,NA
RISING SUN,1972,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1972,FINALIST,BOYS,NA,NA,NA
TOWSON,1972,SEMIFINALIST,BOYS,NA,NA,NA
WASHINGTON,1972,FINALIST,BOYS,NA,NA,NA
ROCKVILLE,1973,CHAMPION,BOYS,62-44,Jim Conner,B
PARKVILLE,1973,CHAMPION,GIRLS,49-44,Marian Klein,Combined
ANNAPOLIS,1973,SEMIFINALIST,BOYS,NA,NA,NA
BEALL,1973,SEMIFINALIST,BOYS,NA,NA,NA
BETHESDA-CHEVY CHASE,1973,FINALIST,BOYS,NA,NA,NA
CALVERT COUNTY,1973,SEMIFINALIST,BOYS,NA,NA,NA
CHOPTICON,1973,FINALIST,BOYS,NA,NA,NA
COLONEL RICHARDSON,1973,SEMIFINALIST,BOYS,NA,NA,NA
FORT HILL,1973,FINALIST,BOYS,NA,NA,NA
FREDERICK,1973,SEMIFINALIST,BOYS,NA,NA,NA
GLENELG,1973,SEMIFINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1973,FINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1973,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1973,SEMIFINALIST,GIRLS,NA,NA,NA
SNOW HILL,1973,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1973,CHAMPION,BOYS,NA,NA,NA
SPRINGBROOK,1973,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1973,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1973,CHAMPION,BOYS,64-60,Roy Henderson,AA
CRISFIELD,1973,CHAMPION,BOYS,73-72,William Cain,C
SOUTHERN-AA,1973,CHAMPION,BOYS,30-24,Tom Albright,A
ANNAPOLIS,1974,CHAMPION,BOYS,69-61,Al Laramore,AA
FREDERICK,1974,CHAMPION,BOYS,54-53,Bill Brooks,B
GWYNN PARK,1974,CHAMPION,BOYS,70-65,Larry Gandee,C
SHERWOOD,1974,CHAMPION,GIRLS,46-44,Linda Gehlert,Combined
ANNAPOLIS,1974,SEMIFINALIST,GIRLS,NA,NA,NA
BETHESDA-CHEVY CHASE,1974,FINALIST,BOYS,NA,NA,NA
CROSSLAND,1974,SEMIFINALIST,BOYS,NA,NA,NA
EDGEWOOD,1974,SEMIFINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1974,SEMIFINALIST,BOYS,NA,NA,NA
HIGH POINT,1974,SEMIFINALIST,GIRLS,NA,NA,NA
PARKVILLE,1974,FINALIST,BOYS,NA,NA,NA
POCOMOKE,1974,FINALIST,BOYS,NA,NA,NA
POTOMAC,1974,SEMIFINALIST,BOYS,NA,NA,NA
SHERWOOD,1974,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1974,FINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1974,SEMIFINALIST,BOYS,NA,NA,NA
STEPHEN DECATUR,1974,FINALIST,BOYS,NA,NA,NA
VALLEY,1974,SEMIFINALIST,BOYS,NA,NA,NA
WILDE LAKE,1974,FINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,1974,CHAMPION,BOYS,83-70,Nick Scallion,A
MONTGOMERY BLAIR,1975,CHAMPION,BOYS,66-61,Gene Doane,AA
BLADENSBURG,1975,CHAMPION,GIRLS,56-52,Jeanne Welch,Combined
WASHINGTON,1975,CHAMPION,BOYS,85-82 OT,Larry Sterling,C
ANNAPOLIS,1975,SEMIFINALIST,GIRLS,NA,NA,NA
ARUNDEL,1975,SEMIFINALIST,BOYS,NA,NA,NA
BRUCE,1975,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1975,FINALIST,BOYS,NA,NA,NA
CATONSVILLE,1975,FINALIST,BOYS,NA,NA,NA
CHOPTICON,1975,SEMIFINALIST,GIRLS,NA,NA,NA
DUVAL,1975,FINALIST,BOYS,NA,NA,NA
FREDERICK,1975,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1975,CHAMPION,BOYS,NA,NA,NA
GWYNN PARK,1975,FINALIST,BOYS,NA,NA,NA
LARGO,1975,SEMIFINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1975,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1975,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH EAST (CECIL),1975,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHWOOD,1975,SEMIFINALIST,BOYS,NA,NA,NA
PARKVILLE,1975,SEMIFINALIST,BOYS,NA,NA,NA
ROCKVILLE,1975,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1975,SEMIFINALIST,GIRLS,NA,NA,NA
WHEATON,1975,SEMIFINALIST,GIRLS,NA,NA,NA
EDGEWOOD,1975,CHAMPION,BOYS,52-50,Paul Mezger,B
THOMAS JOHNSON,1975,CHAMPION,BOYS,52-50,Tom Dickman,A
POCOMOKE,1976,CHAMPION,BOYS,80-66,Carey Reece,C
BLADENSBURG,1976,CHAMPION,GIRLS,55-35,Jeanne Welch,AA
GWYNN PARK,1976,CHAMPION,BOYS,79-59,Larry Gandee,B
ANDOVER,1976,FINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1976,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1976,SEMIFINALIST,GIRLS,NA,NA,NA
BETHESDA-CHEVY CHASE,1976,FINALIST,BOYS,NA,NA,NA
BRUCE,1976,SEMIFINALIST,BOYS,NA,NA,NA
COLONEL RICHARDSON,1976,FINALIST,BOYS,NA,NA,NA
DULANEY,1976,SEMIFINALIST,BOYS,NA,NA,NA
EDGEWOOD,1976,SEMIFINALIST,BOYS,NA,NA,NA
JAMES M. BENNETT,1976,SEMIFINALIST,GIRLS,NA,NA,NA
JOPPATOWNE,1976,FINALIST,BOYS,NA,NA,NA
KENT COUNTY,1976,SEMIFINALIST,GIRLS,NA,NA,NA
LARGO,1976,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1976,FINALIST,GIRLS,NA,NA,NA
NORTH CAROLINE,1976,SEMIFINALIST,BOYS,NA,NA,NA
NORTH EAST (CECIL),1976,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH HAGERSTOWN,1976,SEMIFINALIST,GIRLS,NA,NA,NA
OXON HILL,1976,CHAMPION,GIRLS,NA,NA,NA
PARKVILLE,1976,FINALIST,GIRLS,NA,NA,NA
POCOMOKE,1976,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1976,CHAMPION,GIRLS,NA,NA,NA
SOUTHERN (G),1976,FINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1976,SEMIFINALIST,BOYS,NA,NA,NA
WALTER JOHNSON,1976,SEMIFINALIST,BOYS,NA,NA,NA
WHEATON,1976,FINALIST,GIRLS,NA,NA,NA
WILDE LAKE,1976,SEMIFINALIST,GIRLS,NA,NA,NA
LOCH RAVEN,1976,CHAMPION,GIRLS,73-68,Nancy Kidd,A
PARKDALE,1976,CHAMPION,BOYS,53-51,Stan Kernan,AA
SMITHSBURG,1976,CHAMPION,GIRLS,42-37,Teresa Bachtell,C
ABERDEEN,1976,CHAMPION,BOYS,66-55,Terry Colaw,A
BRUNSWICK,1977,CHAMPION,BOYS,65-61 OT,Bill Kubat,C
MONTGOMERY BLAIR,1977,CHAMPION,BOYS,70-68 OT,Gene Doane,AA
CHARLES W. WOODWARD,1977,CHAMPION,BOYS,60-55,H. Thomas George,A
PAINT BRANCH,1977,CHAMPION,BOYS,76-52,Hank Galotta,B
MOUNT SAVAGE,1977,CHAMPION,GIRLS,52-41,Joanne Nickel,C
ABERDEEN,1977,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1977,FINALIST,GIRLS,NA,NA,NA
ANNAPOLIS,1977,SEMIFINALIST,BOYS,NA,NA,NA
BEALL,1977,FINALIST,BOYS,NA,NA,NA
COLONEL RICHARDSON,1977,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1977,SEMIFINALIST,BOYS,NA,NA,NA
DULANEY,1977,SEMIFINALIST,BOYS,NA,NA,NA
DULANEY,1977,SEMIFINALIST,GIRLS,NA,NA,NA
EDGEWOOD,1977,FINALIST,BOYS,NA,NA,NA
FRANCIS SCOTT KEY,1977,SEMIFINALIST,BOYS,NA,NA,NA
HEREFORD,1977,SEMIFINALIST,GIRLS,NA,NA,NA
LA PLATA,1977,CHAMPION,GIRLS,NA,NA,NA
MARDELA,1977,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH CAROLINE,1977,SEMIFINALIST,BOYS,NA,NA,NA
NORTH HAGERSTOWN,1977,FINALIST,BOYS,NA,NA,NA
NORTH HAGERSTOWN,1977,SEMIFINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,1977,FINALIST,GIRLS,NA,NA,NA
OXON HILL,1977,CHAMPION,GIRLS,NA,NA,NA
POTOMAC,1977,FINALIST,BOYS,NA,NA,NA
SHERWOOD,1977,SEMIFINALIST,GIRLS,NA,NA,NA
SMITHSBURG,1977,SEMIFINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1977,SEMIFINALIST,GIRLS,NA,NA,NA
STEPHEN DECATUR,1977,FINALIST,GIRLS,NA,NA,NA
THOMAS STONE,1977,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1977,SEMIFINALIST,GIRLS,NA,NA,NA
ANDOVER,1977,CHAMPION,GIRLS,57-37,Sally Entsminger,A
DUVAL,1977,CHAMPION,GIRLS,55-52,Sandra Sprinkle,AA
FREDERICK,1978,CHAMPION,BOYS,64-62,Bill Brooks,B
CRISFIELD,1978,CHAMPION,BOYS,65-58,Bill Cain,C
THOMAS S. WOOTTON,1978,CHAMPION,BOYS,81-67,Dale Miller,A
PARKDALE,1978,CHAMPION,GIRLS,49-45,Diana Headlee,AA
WINSTON CHURCHILL,1978,CHAMPION,BOYS,77-63,Les Lombardi,AA
ANDOVER,1978,FINALIST,GIRLS,NA,NA,NA
ANNAPOLIS,1978,SEMIFINALIST,BOYS,NA,NA,NA
BEALL,1978,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1978,FINALIST,BOYS,NA,NA,NA
CAMBRIDGE/SD,1978,SEMIFINALIST,BOYS,NA,NA,NA
FRANCIS SCOTT KEY,1978,FINALIST,GIRLS,NA,NA,NA
FRIENDLY,1978,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1978,FINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1978,CHAMPION,GIRLS,NA,NA,NA
HENRY E. LACKEY,1978,SEMIFINALIST,BOYS,NA,NA,NA
KENT COUNTY,1978,SEMIFINALIST,GIRLS,NA,NA,NA
MARDELA,1978,FINALIST,GIRLS,NA,NA,NA
MOUNT SAVAGE,1978,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH EAST (CECIL),1978,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH HAGERSTOWN,1978,FINALIST,GIRLS,NA,NA,NA
PARKVILLE,1978,FINALIST,GIRLS,NA,NA,NA
POOLESVILLE,1978,SEMIFINALIST,BOYS,NA,NA,NA
RISING SUN,1978,SEMIFINALIST,BOYS,NA,NA,NA
SENECA VALLEY,1978,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1978,FINALIST,BOYS,NA,NA,NA
SHERWOOD,1978,SEMIFINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1978,SEMIFINALIST,GIRLS,NA,NA,NA
SURRATTSVILLE,1978,SEMIFINALIST,BOYS,NA,NA,NA
WILDE LAKE,1978,SEMIFINALIST,BOYS,NA,NA,NA
WOODLAWN,1978,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH CARROLL,1978,CHAMPION,GIRLS,56-54,Ruth Lampert,A
MIDDLETOWN,1978,CHAMPION,GIRLS,60-48,William Pfeil,C
SNOW HILL,1979,CHAMPION,GIRLS,54-49,Brenda Jones,C
PAINT BRANCH,1979,CHAMPION,GIRLS,63-43,Bruce Stayman,A
THOMAS S. WOOTTON,1979,CHAMPION,BOYS,62-55,Dale Miller,A
SHERWOOD,1979,CHAMPION,BOYS,79-58,Harry Laughner,B
VALLEY,1979,CHAMPION,BOYS,54-51,John Meyers,C
MONTGOMERY BLAIR,1979,CHAMPION,BOYS,55-53,Marty Dickerson,AA
ANNAPOLIS,1979,FINALIST,BOYS,NA,NA,NA
BEL AIR,1979,SEMIFINALIST,GIRLS,NA,NA,NA
BLADENSBURG,1979,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE/SD,1979,SEMIFINALIST,BOYS,NA,NA,NA
CATONSVILLE,1979,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1979,SEMIFINALIST,BOYS,NA,NA,NA
FORT HILL,1979,FINALIST,GIRLS,NA,NA,NA
FREDERICK,1979,SEMIFINALIST,BOYS,NA,NA,NA
FRIENDLY,1979,SEMIFINALIST,GIRLS,NA,NA,NA
HAVRE DE GRACE,1979,SEMIFINALIST,BOYS,NA,NA,NA
KENT COUNTY,1979,SEMIFINALIST,GIRLS,NA,NA,NA
MIDDLETOWN,1979,FINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1979,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH EAST (CECIL),1979,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHWESTERN (PG),1979,CHAMPION,GIRLS,NA,NA,NA
PATAPSCO,1979,SEMIFINALIST,BOYS,NA,NA,NA
SHERWOOD,1979,SEMIFINALIST,GIRLS,NA,NA,NA
SMITHSBURG,1979,FINALIST,GIRLS,NA,NA,NA
SOUTH CARROLL,1979,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1979,CHAMPION,GIRLS,NA,NA,NA
SOUTHERN (AA),1979,FINALIST,BOYS,NA,NA,NA
SURRATTSVILLE,1979,SEMIFINALIST,BOYS,NA,NA,NA
THOMAS STONE,1979,FINALIST,BOYS,NA,NA,NA
TOWSON,1979,FINALIST,GIRLS,NA,NA,NA
WALT WHITMAN,1979,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHWESTERN-PG,1979,CHAMPION,GIRLS,59-57,Nancy Suter,AA
CRISFIELD,1980,CHAMPION,BOYS,66-60,Bill Cain,C
PAINT BRANCH,1980,CHAMPION,GIRLS,49-48,Bruce Stayman,A
MOUNT HEBRON,1980,CHAMPION,GIRLS,72-48,Dave Greenberg,C
CAMBRIDGE/SD,1980,CHAMPION,BOYS,55-47,Ken Edgar,B
GWYNN PARK,1980,CHAMPION,BOYS,75-74 (2 OT),Larry Gandee,A
ANDOVER,1980,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1980,SEMIFINALIST,BOYS,NA,NA,NA
CATONSVILLE,1980,SEMIFINALIST,BOYS,NA,NA,NA
CENTENNIAL,1980,FINALIST,GIRLS,NA,NA,NA
ELEANOR ROOSEVELT,1980,FINALIST,GIRLS,NA,NA,NA
ELKTON,1980,SEMIFINALIST,GIRLS,NA,NA,NA
FREDERICK,1980,SEMIFINALIST,GIRLS,NA,NA,NA
GREAT MILLS,1980,SEMIFINALIST,GIRLS,NA,NA,NA
LEONARDTOWN,1980,SEMIFINALIST,GIRLS,NA,NA,NA
LINGANORE,1980,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT HEBRON,1980,FINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1980,SEMIFINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,1980,SEMIFINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1980,SEMIFINALIST,BOYS,NA,NA,NA
ROCKVILLE,1980,FINALIST,BOYS,NA,NA,NA
SEVERNA PARK,1980,SEMIFINALIST,GIRLS,NA,NA,NA
SMITHSBURG,1980,SEMIFINALIST,GIRLS,NA,NA,NA
SNOW HILL,1980,FINALIST,GIRLS,NA,NA,NA
SOUTH CARROLL,1980,FINALIST,GIRLS,NA,NA,NA
SOUTH HAGERSTOWN,1980,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1980,CHAMPION,GIRLS,NA,NA,NA
SOUTHERN (AA),1980,FINALIST,BOYS,NA,NA,NA
SUITLAND,1980,FINALIST,BOYS,NA,NA,NA
TOWSON,1980,SEMIFINALIST,GIRLS,NA,NA,NA
VALLEY,1980,SEMIFINALIST,BOYS,NA,NA,NA
LAUREL,1980,CHAMPION,BOYS,55-49,Randy Maddox,AA
DUVAL,1980,CHAMPION,GIRLS,68-55,Sandra Sprinkle,AA
NORTH HAGERSTOWN,1981,CHAMPION,GIRLS,64-53,Diane Stahl,A
VALLEY,1981,CHAMPION,BOYS,55-52,John Meyers,C
ABERDEEN,1981,SEMIFINALIST,BOYS,NA,NA,NA
ANDOVER,1981,SEMIFINALIST,BOYS,NA,NA,NA
ANDOVER,1981,SEMIFINALIST,GIRLS,NA,NA,NA
BEALL,1981,SEMIFINALIST,GIRLS,NA,NA,NA
CATOCTIN,1981,SEMIFINALIST,BOYS,NA,NA,NA
CENTENNIAL,1981,CHAMPION,GIRLS,NA,NA,NA
DAMASCUS,1981,SEMIFINALIST,GIRLS,NA,NA,NA
DOUGLASS (PG),1981,FINALIST,GIRLS,NA,NA,NA
DULANEY,1981,SEMIFINALIST,GIRLS,NA,NA,NA
ELKTON,1981,SEMIFINALIST,GIRLS,NA,NA,NA
FREDERICK,1981,FINALIST,BOYS,NA,NA,NA
JOPPATOWNE,1981,SEMIFINALIST,BOYS,NA,NA,NA
KENT COUNTY,1981,FINALIST,BOYS,NA,NA,NA
KENWOOD,1981,FINALIST,BOYS,NA,NA,NA
LARGO,1981,SEMIFINALIST,GIRLS,NA,NA,NA
LEONARDTOWN,1981,SEMIFINALIST,GIRLS,NA,NA,NA
MOUNT HEBRON,1981,FINALIST,BOYS,NA,NA,NA
MOUNT HEBRON,1981,FINALIST,GIRLS,NA,NA,NA
PAINT BRANCH,1981,FINALIST,GIRLS,NA,NA,NA
POCOMOKE,1981,SEMIFINALIST,BOYS,NA,NA,NA
ROCKVILLE,1981,FINALIST,BOYS,NA,NA,NA
SEVERNA PARK,1981,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1981,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1981,CHAMPION,BOYS,NA,NA,NA
SOUTHERN (AA),1981,FINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1981,SEMIFINALIST,BOYS,NA,NA,NA
STEPHEN DECATUR,1981,FINALIST,BOYS,NA,NA,NA
WESTMINSTER,1981,CHAMPION,GIRLS,NA,NA,NA
FAIRMONT HEIGHTS,1981,CHAMPION,BOYS,73-69,Paul Pinsky,A
SMITHSBURG,1981,CHAMPION,GIRLS,51-42,Sandra Graff,C
PARKDALE,1981,CHAMPION,GIRLS,66-55,Stan Kernan,AA
POTOMAC,1981,CHAMPION,BOYS,69-55,Taft Hickman,AA
SOUTHERN-AA,1981,CHAMPION,BOYS,63-59,Tom Albright,B
HIGH POINT,1982,CHAMPION,BOYS,54-52,Al Moraz,AA
BROOKLYN PARK,1982,CHAMPION,GIRLS,55-54,Art St. Martin,C
CRISFIELD,1982,CHAMPION,BOYS,68-60,Bill Cain,C
FREDERICK,1982,CHAMPION,BOYS,70-58,Bud Rogers,B
ANDOVER,1982,FINALIST,BOYS,NA,NA,NA
ANDOVER,1982,SEMIFINALIST,GIRLS,NA,NA,NA
ANNAPOLIS,1982,FINALIST,GIRLS,NA,NA,NA
ANNAPOLIS,1982,SEMIFINALIST,BOYS,NA,NA,NA
ATHOLTON,1982,SEMIFINALIST,BOYS,NA,NA,NA
ATHOLTON,1982,SEMIFINALIST,GIRLS,NA,NA,NA
CHARLES W. WOODWARD,1982,CHAMPION,GIRLS,NA,NA,NA
DULANEY,1982,SEMIFINALIST,GIRLS,NA,NA,NA
FRIENDLY,1982,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1982,CHAMPION,BOYS,NA,NA,NA
HAMMOND,1982,SEMIFINALIST,BOYS,NA,NA,NA
HEREFORD,1982,FINALIST,GIRLS,NA,NA,NA
KENWOOD,1982,SEMIFINALIST,BOYS,NA,NA,NA
MCDONOUGH,1982,FINALIST,BOYS,NA,NA,NA
MILFORD MILL,1982,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1982,CHAMPION,GIRLS,NA,NA,NA
MOUNT SAVAGE,1982,SEMIFINALIST,GIRLS,NA,NA,NA
PARKSIDE,1982,SEMIFINALIST,GIRLS,NA,NA,NA
ROCKVILLE,1982,SEMIFINALIST,BOYS,NA,NA,NA
SMITHSBURG,1982,FINALIST,GIRLS,NA,NA,NA
SNOW HILL,1982,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (G),1982,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1982,SEMIFINALIST,GIRLS,NA,NA,NA
WALKERSVILLE,1982,FINALIST,BOYS,NA,NA,NA
WHEATON,1982,FINALIST,GIRLS,NA,NA,NA
WICOMICO,1982,SEMIFINALIST,BOYS,NA,NA,NA
DUVAL,1982,CHAMPION,GIRLS,62-47,Sandra Sprinkle,A
BLAIR,1982,CHAMPION,GIRLS,56-50,Bill Lindsey,AA
THOMAS JOHNSON,1982,CHAMPION,BOYS,59-50,Tom Dickman,A
SPRINGBROOK,1983,CHAMPION,GIRLS,70-64,Bill Wiley,AA
HAMMOND,1983,CHAMPION,BOYS,73-51,Mike Mongelli,C
ABERDEEN,1983,SEMIFINALIST,BOYS,NA,NA,NA
ALBERT EINSTEIN,1983,SEMIFINALIST,BOYS,NA,NA,NA
ANDOVER,1983,SEMIFINALIST,GIRLS,NA,NA,NA
BETHESDA-CHEVY CHASE,1983,SEMIFINALIST,BOYS,NA,NA,NA
BROOKLYN PARK,1983,FINALIST,GIRLS,NA,NA,NA
CATONSVILLE,1983,FINALIST,BOYS,NA,NA,NA
COL. ZADOK MAGRUDER,1983,FINALIST,GIRLS,NA,NA,NA
DULANEY,1983,SEMIFINALIST,GIRLS,NA,NA,NA
FLINTSTONE,1983,SEMIFINALIST,BOYS,NA,NA,NA
FRIENDLY,1983,FINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1983,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1983,CHAMPION,GIRLS,NA,NA,NA
LIBERTY,1983,FINALIST,GIRLS,NA,NA,NA
MEADE,1983,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1983,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHEAST (AA),1983,SEMIFINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1983,FINALIST,GIRLS,NA,NA,NA
POTOMAC,1983,FINALIST,GIRLS,NA,NA,NA
SMITHSBURG,1983,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1983,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1983,CHAMPION,BOYS,NA,NA,NA
SOUTHERN (AA),1983,CHAMPION,GIRLS,NA,NA,NA
WICOMICO,1983,FINALIST,BOYS,NA,NA,NA
WICOMICO,1983,SEMIFINALIST,GIRLS,NA,NA,NA
WOODLAWN,1983,SEMIFINALIST,BOYS,NA,NA,NA
GWYNN PARK,1983,CHAMPION,BOYS,62-48,Owen Johnson,A
SMITHSBURG,1983,CHAMPION,GIRLS,64-46,Rosemarie Pellegrino,C
THOMAS S. WOOTTON,1983,CHAMPION,BOYS,70-64,Stan Wolk,AA
THOMAS JOHNSON,1983,CHAMPION,GIRLS,58-52,Jim Kennedy,A
SOUTHERN-AA,1983,CHAMPION,BOYS,75-67 OT,Tom Albright,B
BETHESDA-CHEVY CHASE,1984,CHAMPION,BOYS,57-54,Bill Wright,AA
CROSSLAND,1984,CHAMPION,GIRLS,57-55,Charlotte Worthy,AA
WALKERSVILLE,1984,CHAMPION,BOYS,63-46,Dave Miller,C
FAIRMONT HEIGHTS,1984,CHAMPION,GIRLS,56-45,Joan Rothgeb,A
OWINGS MILLS,1984,CHAMPION,GIRLS,52-48,Karen Schulte,C
ABERDEEN,1984,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1984,FINALIST,BOYS,NA,NA,NA
BRUCE,1984,FINALIST,BOYS,NA,NA,NA
CATONSVILLE,1984,FINALIST,GIRLS,NA,NA,NA
CENTRAL (PG),1984,CHAMPION,BOYS,NA,NA,NA
CHARLES W. WOODWARD,1984,FINALIST,BOYS,NA,NA,NA
CHARLES W. WOODWARD,1984,SEMIFINALIST,GIRLS,NA,NA,NA
DULANEY,1984,SEMIFINALIST,GIRLS,NA,NA,NA
FALLSTON,1984,SEMIFINALIST,GIRLS,NA,NA,NA
FORT HILL,1984,SEMIFINALIST,GIRLS,NA,NA,NA
FRIENDLY,1984,SEMIFINALIST,BOYS,NA,NA,NA
HAVRE DE GRACE,1984,SEMIFINALIST,BOYS,NA,NA,NA
LOCH RAVEN,1984,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT HEBRON,1984,CHAMPION,BOYS,NA,NA,NA
NORTH CAROLINE,1984,FINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),1984,FINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1984,SEMIFINALIST,BOYS,NA,NA,NA
SMITHSBURG,1984,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH CARROLL,1984,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH RIVER,1984,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1984,CHAMPION,GIRLS,NA,NA,NA
SOUTHERN (AA),1984,SEMIFINALIST,BOYS,NA,NA,NA
